#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"::","49672","::","0","Listen"
"::","49670","::","0","Listen"
"::","49669","::","0","Listen"
"::","49668","::","0","Listen"
"::","49667","::","0","Listen"
"::","49666","::","0","Listen"
"::","49665","::","0","Listen"
"::","49664","::","0","Listen"
"::","47001","::","0","Listen"
"::","9001","::","0","Listen"
"::","5985","::","0","Listen"
"::","3389","::","0","Listen"
"::","2701","::","0","Listen"
"::","808","::","0","Listen"
"::","445","::","0","Listen"
"::","135","::","0","Listen"
"0.0.0.0","65451","0.0.0.0","0","Bound"
"0.0.0.0","64842","0.0.0.0","0","Bound"
"0.0.0.0","64379","0.0.0.0","0","Bound"
"0.0.0.0","63981","0.0.0.0","0","Bound"
"0.0.0.0","63011","0.0.0.0","0","Bound"
"0.0.0.0","63010","0.0.0.0","0","Bound"
"0.0.0.0","63005","0.0.0.0","0","Bound"
"0.0.0.0","62999","0.0.0.0","0","Bound"
"0.0.0.0","62973","0.0.0.0","0","Bound"
"0.0.0.0","62972","0.0.0.0","0","Bound"
"0.0.0.0","62971","0.0.0.0","0","Bound"
"0.0.0.0","62958","0.0.0.0","0","Bound"
"0.0.0.0","62957","0.0.0.0","0","Bound"
"0.0.0.0","62430","0.0.0.0","0","Bound"
"0.0.0.0","62417","0.0.0.0","0","Bound"
"0.0.0.0","62109","0.0.0.0","0","Bound"
"0.0.0.0","61136","0.0.0.0","0","Bound"
"0.0.0.0","60700","0.0.0.0","0","Bound"
"0.0.0.0","60437","0.0.0.0","0","Bound"
"0.0.0.0","60229","0.0.0.0","0","Bound"
"0.0.0.0","59741","0.0.0.0","0","Bound"
"0.0.0.0","59631","0.0.0.0","0","Bound"
"0.0.0.0","59380","0.0.0.0","0","Bound"
"0.0.0.0","59079","0.0.0.0","0","Bound"
"0.0.0.0","58987","0.0.0.0","0","Bound"
"0.0.0.0","58109","0.0.0.0","0","Bound"
"0.0.0.0","57186","0.0.0.0","0","Bound"
"0.0.0.0","56932","0.0.0.0","0","Bound"
"0.0.0.0","56776","0.0.0.0","0","Bound"
"0.0.0.0","56110","0.0.0.0","0","Bound"
"0.0.0.0","55518","0.0.0.0","0","Bound"
"0.0.0.0","54155","0.0.0.0","0","Bound"
"0.0.0.0","50772","0.0.0.0","0","Bound"
"0.0.0.0","50068","0.0.0.0","0","Bound"
"0.0.0.0","49764","0.0.0.0","0","Bound"
"0.0.0.0","49644","0.0.0.0","0","Bound"
"10.182.209.146","63011","145.227.169.135","443","Established"
"10.182.209.146","63010","145.227.169.135","443","Established"
"10.182.209.146","63005","145.227.177.134","443","Established"
"10.182.209.146","62999","145.227.169.182","10123","Established"
"10.182.209.146","62973","145.227.169.166","10443","Established"
"10.182.209.146","62972","145.227.169.134","443","Established"
"10.182.209.146","62971","145.227.169.135","443","Established"
"10.182.209.146","62957","10.183.43.78","5061","Established"
"127.0.0.1","62522","127.0.0.1","62417","Established"
"127.0.0.1","62522","0.0.0.0","0","Listen"
"192.168.0.13","62430","194.168.156.81","443","Established"
"127.0.0.1","62417","127.0.0.1","62522","Established"
"127.0.0.1","62416","0.0.0.0","0","Listen"
"10.182.209.146","56008","145.227.177.155","80","TimeWait"
"10.182.209.146","56007","145.227.177.155","80","TimeWait"
"10.182.209.146","50772","10.183.43.165","443","Established"
"0.0.0.0","49672","0.0.0.0","0","Listen"
"127.0.0.1","49671","0.0.0.0","0","Listen"
"0.0.0.0","49670","0.0.0.0","0","Listen"
"0.0.0.0","49669","0.0.0.0","0","Listen"
"0.0.0.0","49668","0.0.0.0","0","Listen"
"0.0.0.0","49667","0.0.0.0","0","Listen"
"0.0.0.0","49666","0.0.0.0","0","Listen"
"0.0.0.0","49665","0.0.0.0","0","Listen"
"0.0.0.0","49664","0.0.0.0","0","Listen"
"0.0.0.0","3389","0.0.0.0","0","Listen"
"0.0.0.0","2701","0.0.0.0","0","Listen"
"0.0.0.0","808","0.0.0.0","0","Listen"
"192.168.0.13","139","0.0.0.0","0","Listen"
"10.182.209.146","139","0.0.0.0","0","Listen"
"0.0.0.0","135","0.0.0.0","0","Listen"
